time_utc,chat_id,action,direction,symbol_ok,entry_low,entry_high,sl,tps,smc_used,smc_pass,smc_reason,sanity_pass,sanity_reason,accepted,order_type,order_price,lots,dry_run,order_ticket,retcode,raw_text
"2026.09.15 18:34:00","-1001234567890","OPEN","SELL","1","4335.61","4339.4","4347.07","4328.61|4321.61","1","1","bearish sweep confirmed","1","","1","LIMIT","4335.61","0.05","0","88010012","10009","XAUUSD SELL 4339.4-4335.61 TP1: 4328.61 TP2: 4321.61 StopLoss: 4347.07"
"2026.09.15 20:29:00","-1001234567890","OPEN","SELL","1","4367.23","4369.8","4378.47","4360.23|4353.23","1","1","bearish sweep confirmed","1","","1","LIMIT","4367.23","0.05","0","88010013","10009","XAUUSD SELL 4369.8-4367.23 TP1: 4360.23 TP2: 4353.23 StopLoss: 4378.47"
"2026.09.15 21:54:00","-1001234567890","OPEN","SELL","1","4308.18","4309.8","4314.68","4301.18|4294.18","1","1","not required","0","SL 4360.00 is not above the sell zone 4360.00-4363.00","0","","0.0","0","0","","","XAUUSD SELL 4309.8-4308.18 TP1: 4301.18 TP2: 4294.18 StopLoss: 4314.68"
"2026.09.15 23:03:00","-1001234567890","OPEN","SELL","1","4353.63","4356.3","4362.31","4346.63|4339.63","1","1","not required","0","SL distance 4.5 pips is below the minimum 10","0","","0.0","0","0","","","XAUUSD SELL 4356.3-4353.63 TP1: 4346.63 TP2: 4339.63 StopLoss: 4362.31"
"2026.09.16 00:50:00","-1001234567890","OPEN","BUY","1","4361.35","4364.19","4355.22","4371.19|4378.19","1","1","not required","0","SL distance 4.5 pips is below the minimum 10","0","","0.0","0","0","","","XAUUSD BUY 4364.19-4361.35 TP1: 4371.19 TP2: 4378.19 StopLoss: 4355.22"
"2026.09.16 01:47:00","-1001234567890","OPEN","SELL","1","4314.23","4315.74","4325.52","4307.23|4300.23","1","0","BUY entry 4361.50 sits in the premium half of 4330.00-4365.00 (equilibrium 4347.50) - not a discount entry","1","","0","","0.0","0","0","","","XAUUSD SELL 4315.74-4314.23 TP1: 4307.23 TP2: 4300.23 StopLoss: 4325.52"
"2026.09.16 03:11:00","-1001234567890","OPEN","BUY","1","4378.35","4380.6","4369.24","4387.6|4394.6","1","0","no recent bullish liquidity sweep (recent low 4341.20 vs prior level 4338.00, last close 4340.10)","1","","0","","0.0","0","0","","","XAUUSD BUY 4380.6-4378.35 TP1: 4387.6 TP2: 4394.6 StopLoss: 4369.24"
"2026.09.16 04:18:00","-1001234567890","OPEN","BUY","1","4348.54","4351.99","4340.3","4358.99|4365.99","1","1","bullish sweep confirmed","1","","1","MARKET","4351.99","0.05","0","88010019","10009","XAUUSD BUY 4351.99-4348.54 TP1: 4358.99 TP2: 4365.99 StopLoss: 4340.3"
"2026.09.16 05:40:00","-1001234567890","OPEN","BUY","1","4310.07","4312.48","4298.19","4319.48|4326.48","1","0","no recent bullish liquidity sweep (recent low 4341.20 vs prior level 4338.00, last close 4340.10)","1","","0","","0.0","0","0","","","XAUUSD BUY 4312.48-4310.07 TP1: 4319.48 TP2: 4326.48 StopLoss: 4298.19"
"2026.09.16 06:07:00","-1001234567890","OPEN","BUY","1","4379.02","4382.89","4374.33","4389.89|4396.89","1","1","bullish sweep confirmed","1","","1","LIMIT","4382.89","0.05","0","88010021","10009","XAUUSD BUY 4382.89-4379.02 TP1: 4389.89 TP2: 4396.89 StopLoss: 4374.33"
"2026.09.16 09:00:00","-1001234567890","CLOSE","","1","0","0","0","","0","0","","1","","1","","0","0","0","","","CLOSE ALL XAUUSD NOW"
"2026.09.18 11:00:00","-1001234567890","CLOSE","","1","0","0","0","","0","0","","1","","1","","0","0","0","","","CLOSE ALL XAUUSD NOW"
